Temp,Total MLR,
39.8183333,2.00E-06,
39.857,1.98E-06,
39.9666667,1.19E-06,
40.1763333,1.06E-06,
40.519,1.17E-06,
41.0106667,8.56E-08,
41.6723333,7.20E-06,
42.512,7.75E-06,
43.544,-1.36E-06,
44.77,1.79E-06,
46.1913333,5.71E-06,
47.8016667,3.14E-06,
49.5966667,6.43E-06,
51.569,9.21E-06,
53.7076667,3.97E-06,
55.9973333,5.78E-06,
58.432,1.42E-05,
60.997,1.35E-05,
63.6816667,1.42E-05,
66.4726667,1.88E-05,
69.36,2.06E-05,
72.3283333,2.47E-05,
75.373,2.80E-05,
78.479,2.99E-05,
81.6413333,3.29E-05,
84.8453333,3.31E-05,
88.0873333,3.43E-05,
91.3619933,4.06E-05,
94.6569933,4.40E-05,
97.96966,4.27E-05,
101.2943233,4.42E-05,
104.62599,4.03E-05,
107.9613233,3.52E-05,
111.2936567,3.43E-05,
114.62066,2.85E-05,
117.9363267,2.67E-05,
121.2403233,2.72E-05,
124.5293233,1.93E-05,
127.8003267,1.30E-05,
131.0516633,1.31E-05,
134.2796567,1.24E-05,
137.4829933,9.75E-06,
140.6623267,7.18E-06,
143.81466,4.42E-06,
146.9369867,5.67E-06,
150.0296567,1.10E-05,
153.0949833,5.98E-06,
156.1259867,8.66E-07,
159.1256533,2.02E-06,
162.0993267,5.88E-06,
165.03466,1.03E-05,
167.94099,1.02E-05,
170.81466,1.30E-05,
173.6623233,1.17E-05,
176.4763333,4.65E-06,
179.26066,7.85E-06,
182.0183267,1.29E-05,
184.7489933,1.31E-05,
187.4506633,1.55E-05,
190.1313233,1.48E-05,
192.78433,1.52E-05,
195.4156633,1.71E-05,
198.0226567,1.50E-05,
200.60899,1.63E-05,
203.17666,2.01E-05,
205.7269933,2.07E-05,
208.26066,2.27E-05,
210.7773267,2.03E-05,
213.27666,1.90E-05,
215.7669967,2.46E-05,
218.24666,2.54E-05,
220.7129967,2.35E-05,
223.1713267,3.44E-05,
225.6199933,3.76E-05,
228.0623233,3.44E-05,
230.4963333,3.96E-05,
232.92733,4.42E-05,
235.3546633,5.22E-05,
237.7783267,5.54E-05,
240.1969933,5.73E-05,
242.6156633,6.23E-05,
245.03333,6.95E-05,
247.4509967,8.31E-05,
249.8676633,0.000100558,
252.2853267,0.000104845,
254.7039933,0.000113955,
257.12466,0.000133803,
259.5463233,0.00015463,
261.9709967,0.000173717,
264.39865,0.00017638,
266.8323267,0.000192618,
269.26433,0.000221791,
