Temp,Total MLR,
637.04834,2.01E-05,
639.53965,2.38E-05,
642.0363367,2.34E-05,
644.53432,2.30E-05,
647.0333233,2.08E-05,
649.5329767,2.58E-05,
652.0343233,2.65E-05,
654.5370067,1.83E-05,
657.04,2.07E-05,
659.5436767,2.33E-05,
662.0500067,2.54E-05,
664.55401,2.59E-05,
667.0609933,1.93E-05,
669.5659967,1.74E-05,
672.0713267,2.08E-05,
674.57733,2.78E-05,
677.0846533,2.14E-05,
679.591,1.23E-05,
682.09631,1.55E-05,
684.6013133,1.82E-05,
687.1046533,2.33E-05,
689.6099867,2.35E-05,
692.11399,1.69E-05,
694.6166533,1.37E-05,
697.1183233,1.43E-05,
699.6219867,1.23E-05,
702.1249767,1.93E-05,
704.62799,2.26E-05,
707.1303267,1.43E-05,
709.63234,1.21E-05,
712.13568,1.09E-05,
714.6373067,1.23E-05,
717.1393233,1.88E-05,
719.6413367,1.87E-05,
